Date,Intent,Product,Quantity,Part Number,Brand,Condition,Sender Company,Subject
5/7/2025 8:57:36,WTS,DELL,180,LAPTOP,,--,--,"[Laptop] WTS: 180, Dell, Dell Chromebook 11 3100 Non-Touch 4GB-16GB Black, B, Offer USD"
5/7/2025 8:56:41,WTS,LENOVO,368,LAPTOP,,--,--,"[Laptop] WTS: 368, Lenovo, Chromebook 11 500e 2nd Gen 2n1 4GB-32GB Black, B Grade, Offer USD"
5/7/2025 8:54:48,WTB,LENOVO,480,LAPTOP,,--,--,"[Laptop] WTB: Bulk, Lenovo, Thinkpad T480 i5-8th Gen 16GB 256GB , A, Offers EUR"
5/7/2025 8:54:42,WTS,DELL,730,LAPTOP,,--,--,"[Laptop] WTS: 730, Dell, Chromebook 11 3100 Non-Touch 4GB-16GB Black, B Grade, Offer USD"
5/7/2025 8:53:10,WTS,LENOVO,800,LAPTOP,,--,--,"[Laptop] WTS: 800, Lenovo, Chromebook 11 300e 2nd Gen AST 2n1 4GB-32GB Black, B grade, Offer USD"
5/7/2025 8:52:13,WTS,HP,70,LAPTOP,,--,--,"[Laptop] WTS: 70, HP, 840 G7 14"" Touch i5-10310U 16GB 256GB W10P/US, A/B, 195 EUR"
5/7/2025 8:46:09,WTS,HP,280,LAPTOP,,Refurb,inc,"[Laptop] WTS: 280, HP, EliteBook 840 G9 i7-12 32GB 512GB 14"", Refurbished A, * USD"
5/7/2025 8:41:23,WTS,--,1000,MONITOR,,--,--,"[Monitor] WTS: 1000, fits any, monitor stands PIVOT, VESA, F/S, ask EUR"
5/7/2025 8:41:06,WTS,HP,1000,COMPONENTS,,New,--,"[Components] WTS: 1000+, For Any:HP, Dell, Lenovo, Fujitsu, Asus, Nec, Acer, universal monitor STANDS VESA 100x100, 75x75 mm,  NEW, boxed, ASK EUR"
5/7/2025 8:36:59,WTB,HP,6,COMPONENTS,,New,--,"[Components] WTB: 6, HPE SR416ie-m Gen11 x16 Lanes 4GB Cache SPDM  , P39959-B21, ref / new , best  EUR"
5/7/2025 8:36:30,WTS,DELL,50,LAPTOP,,Refurb,--,"[Laptop] WTS: 50, Dell, Dell Latitude 5420 i5-1135G7 8GB SSD 256GB, Factory Refurbished, 238 EUR"
5/7/2025 8:36:16,WTB,HP,10,LAPTOP,,--,--,"[Laptop] WTB: 10, HP, 840 G9 i5/i7 16Gb 512Gb , Grade A , Offers  GBP"
5/7/2025 8:32:06,WTS,LENOVO,1,LAPTOP,,--,--,"[Laptop] WTS: 1-3, Lenovo, ThinkPad L15 i5 1235U 16GB 256Gb Sweden Key, Grade A, Ask EUR"
5/7/2025 8:30:27,WTS,LENOVO,50,LENOVO,,--,--,"[PC] WTS: +50, LENOVO V50A-24IMB AIO 24"", i7-10700T 16Gb 512Gb NVME WIFI STAND, A-B, offer EUR"
5/7/2025 8:28:04,WTS,APPLE,41,LAPTOP,,New,--,"[Laptop] WTS: 41, APPLE, MACBOOK AIR13,3 A1466 A1369, NEW, 5 EUR"
5/7/2025 8:24:15,WTB,--,300,NETWORKING/TELECOM,,Used,--,"[Networking/Telecom] WTB: 300, Meraki, MR44, MR36, MR86, used, email USD"
5/7/2025 8:20:05,WTB,DELL,80,OFFERS,,--,--,"[PC] WTB: 80, DELL, 7060 MINI I5 8/256 AC, A, OFFERS GBP"
5/7/2025 8:15:55,WTS,--,12,SERVER/STORAGE,,--,--,"[Server/Storage] WTS: 12, Gigabyte, Watercooled server epyc 1-2 with GPU, A, Offer EUR"
5/7/2025 8:12:40,WTS,--,25,COMPONENTS,,New,--,"[Components] WTS: 25, PNY, NVIDIA H200 NVL PCIE 141 GB HBM3e, NEW, 27,100 USD"
5/7/2025 8:14:33,WTS,DELL,1,LAPTOP,,--,--,"[Laptop] WTS: 1-8, Dell,  Precision 5760 i7 64GB 1TB RTX A3000, Grade A/A-, Ask EUR"
5/7/2025 8:13:47,WTB,DELL,1,SERVER/STORAGE,,Used,--,"[Server/Storage] WTB: 1, IBM, RS/6000, Used, send price EUR"
5/7/2025 8:06:10,WTS,--,132,COMPONENTS,,--,--,"[Components] WTS: 132, intel, SR3GL 3106 XENON BRONZE 1.70GHz Processors/CP, tested pulls, 5.50 EUR"
5/7/2025 8:01:02,WTS,LENOVO,41,LAPTOP,,--,inc,"[Laptop] WTS: 41, LENOVO, X260 X270 X280, A REF, 59/OFFER EUR"
5/7/2025 8:06:02,WTS,HP,50,SERVER/STORAGE,,New,--,"[Server/Storage] WTS: 50, HP, EB627P#106 36/72GB DDS5 USB 5.25"" Black Tape Drive, NEW in Box, 35 USD"
5/7/2025 8:05:27,WTS,DELL,24,LAPTOP,,--,--,"[Laptop] WTS: 24, DELL, XPS 13"" I7-8TH 8GB 256GB touch, A/A-, 135 EUR"
5/7/2025 8:06:19,WTS,--,260,NETWORKING/TELECOM,,New,--,"[Networking/Telecom] WTS: 260, FINISAR, 10GBase XFR & SFP SR/SW, LR & ZR Transceivers, tested pulls, offer EUR"
5/7/2025 8:05:54,WTS,--,10,NETWORKING/TELECOM,,New,--,"[Networking/Telecom] WTS: 10, Cisco, NME-APPRE-302-K9 & NME-APPRE-502-K9 Modules, used pulls, offer EUR"
5/7/2025 8:05:45,WTS,--,46,COMPONENTS,,Used,--,"[Components] WTS: 46, WARE , 7430 7441 7440 7443, used good, 35 EUR"
5/7/2025 8:02:19,WTS,DELL,80,256SSD,,--,--,"[PC] WTS: 80, DELL SFF 7060, i5-8500 8Gb 256SSd, GOOD, 125 EUR"
5/7/2025 7:58:18,WTS,HP,1000,LAPTOP,,--,--,"[Laptop] WTS: 1000+, HP, 1MK33AA, 925698-001 USB-C Dock + AC 90W adapter, Very good, 21 EUR"
5/7/2025 7:42:10,WTB,DELL,40,COMPONENTS,,--,--,"[Components] WTB: 40, Dell / Generic, 3.84TB SAS 12G, 90% Health, 200 EUR"
5/7/2025 7:57:53,WTS,--,132,BEETRONICS,,New,inc,"[POS] WTS: 132, Beetronics 10TF2, 10.1-inch monitors, Brand New, 45 EUR"
5/7/2025 7:56:23,WTS,LENOVO,40,LAPTOP,,--,--,"[Laptop] WTS: 40, Lenovo ThinkPad X13 Gen 1, AMD Ryzen 3, 8GB, 256GB SSD, Grade A/A-/B, offers EUR"
5/7/2025 7:55:48,WTS,HP,354,MONITOR,,--,inc,"[Monitor] WTS: 354, Eizo HP, Mostly 24 inch No stand, A/B, Offer EUR"
5/7/2025 7:52:40,WTS,HP,495,COMPONENTS,,Used,--,"[Components] WTS: 495, HP, 45w Type-C original used tested, A, 3000 EUR"
5/7/2025 7:51:26,WTS,--,100,MOBILE,,New,--,"[Mobile] WTS: 100+, REALME, mix, NEW, ASK EUR"
5/7/2025 7:50:20,WTS,--,100,MOBILE,,New,--,"[Mobile] WTS: 100+, Samsung, mix, NEW , ASK EUR"
5/7/2025 7:46:52,WTS,APPLE,50,LAPTOP,,--,--,"[Laptop] WTS: 50, Apple, A2251, MIX, ASK EUR"
5/7/2025 7:49:18,WTS,APPLE,100,TABLET,,New,--,"[Tablet] WTS: 100+, Apple, mix, NEW, ASK EUR"
5/7/2025 7:48:00,WTS,APPLE,20,LAPTOP,,--,--,"[Laptop] WTS: 20, Apple, A2442 , A, ASK EUR"
5/7/2025 7:47:26,WTS,APPLE,50,LAPTOP,,--,--,"[Laptop] WTS: 50, Apple, A1990 , B, ASK EUR"
5/7/2025 7:44:52,WTS,APPLE,50,LAPTOP,,--,--,"[Laptop] WTS: 50, Apple, A2941, A, ASK EUR"
5/7/2025 7:44:30,WTS,--,1500,COMPONENTS,,--,company,"[Components] WTS: 1500, major, 32 gb m2 ssd, a grade, offers EUR"
5/7/2025 7:41:26,WTS,--,15,SERVER/STORAGE,,--,--,"[Server/Storage] WTS: 15, Intel Xeon, Platinum Processor 8176M SR37U, A, make offer EUR"
5/7/2025 7:37:25,WTS,APPLE,300,MOBILE,,New,--,"[Mobile] WTS: 300, Apple, iPhone 13, 128GB, original devices, AB grade, 229 EUR"
5/7/2025 7:36:35,WTS,APPLE,10,LAPTOP,,--,--,"[Laptop] WTS: 10, Apple, A2251 , MIX, ASK EUR"
5/7/2025 7:36:44,WTS,--,1400,COMPONENTS,,--,--,"[Components] WTS: +1400 , MAJOR BRANDS, 4GB  2400 MHz, SO-DIMM , A, best EUR"
5/7/2025 7:32:48,WTS,HP,50,COMPONENTS,,--,org,"[Components] WTS: 50-300, HP, 65w Blue Pin charger, OK, 6 EUR"
5/7/2025 7:32:47,WTS,HP,12,SERVER/STORAGE,,--,inc,"[Server/Storage] WTS: 12, HP, DriveShelf M6720, B, Offer USD"
5/7/2025 7:32:28,WTS,HP,12,SERVER/STORAGE,,--,inc,"[Server/Storage] WTS: 12, HP, DriveShelf M6710 , B, Offer USD"
5/7/2025 7:32:20,WTS,HP,10,SERVER/STORAGE,,--,inc,"[Server/Storage] WTS: 10, HPE, 3135AA, B, Offer USD"
5/7/2025 7:31:52,WTS,HP,36,LAPTOP,,--,--,"[Laptop] WTS: 36, HP, 840 g5 g6 850 g5 1040 g4 g5 g6 x360, A/B, 125 EUR"
5/7/2025 7:31:09,WTB,DELL,100,SERVER/STORAGE,,--,--,"[Server/Storage] WTB: 100+, Dell, iDrac Enterprise License , Any, Offers EUR"
5/7/2025 7:28:10,WTS,--,10,SERVER/STORAGE,,--,--,"[Server/Storage] WTS: 10, Intel Xeon , Platinum Processor 8276 SRF99, A, make offer EUR"
5/7/2025 7:27:42,WTS,LENOVO,80,LAPTOP,,Refurb,--,"[Laptop] WTS: 80, Lenovo, X380 X390 i5-8th/AMD Ryzen 8/16gb 256gb, A Ref, 109.99 EUR"
5/7/2025 7:26:16,WTS,--,3251,NETWORKING/TELECOM,,New,--,"[Networking/Telecom] WTS: 3251, SANGOMA, S406, S505, S705 IP PHONE, NEW, 70$+ USD"
5/7/2025 7:25:07,WTS,--,50,SERVER/STORAGE,,--,--,"[Server/Storage] WTS: 50, Intel Xeon,  Gold 5222 SRF8V , A, make offer EUR"
5/7/2025 7:24:41,WTS,LENOVO,200,LENOVO,,--,--,"[PC] WTS: +200, LENOVO , THINKCENTRE M920Q (TFF) i5-8500T 8GB - 256GB SSD, GRADE A, Offer EUR EUR"
5/7/2025 7:23:13,WTS,--,462,NETWORKING/TELECOM,,New,--,"[Networking/Telecom] WTS: 462, RUCKUS, H550 INDOOR & R320, R350, R750 WIRELESS Acs.point, NEW, 200$+ USD"
5/7/2025 7:20:33,WTS,--,37,SERVER/STORAGE,,New,--,"[Server/Storage] WTS: 37, ARUBA, JL815A#ABB, NEW, 435 EUR"
5/7/2025 7:19:25,WTS,--,50,SERVER/STORAGE,,--,--,"[Server/Storage] WTS: 50, Intel Xeon , Gold 6146 SR3MA, A, make offer EUR"
5/7/2025 7:19:32,WTS,--,56,LAPTOP,,--,--,"[Laptop] WTS: 56, Microsoft surface pro 7 +, I7-11 , B-D, CALL EUR"
5/7/2025 7:11:28,WTS,--,1350,NETWORKING/TELECOM,,New,--,"[Networking/Telecom] WTS: 1350, FANVIL, V62G, V64, V65, X210, X303P, X7, X7C IP PHONE, NEW, 40+ USD"
5/7/2025 6:44:33,WTS,--,1400,COMPONENTS,,--,--,"[Components] WTS: 1400, MAJOR BRANDS, 1TB 2TB 3TB 3.5 SATA HDD, A, ASK EUR"
5/7/2025 7:17:13,WTS,--,85,COMPONENTS,,New,--,"[Components] WTS: 85, Poly, 76J12AA Poly Blackwire 3315, New F/S, 21 GBP"
5/7/2025 7:15:44,WTS,DELL,70,WINPRO,,--,--,"[PC] WTS: 70, dell 3070 micro, i5 9500t 8gb 256gb winpro psu, grade A, ask EUR"
5/7/2025 7:13:18,WTS,HP,800,LAPTOP,,--,inc,"[Laptop] WTS: 800, HP, Elitebook | 840 G8, Grade AB, ASK USD"
5/7/2025 7:12:33,WTS,HP,150,SERVER/STORAGE,,--,--,"[Server/Storage] WTS: 150, HP 668261-002 Drive Carrier , 2.5"" - 3.5"" Adapter Caddy Trays, Grade A pulls, offer GBP"
5/7/2025 7:10:44,WTB,--,66,COMPONENTS,,--,--,"[Components] WTB: 66, Nvidia, Tesla T4, a, 0 EUR"
5/7/2025 7:08:31,WTS,--,246,PRINTER,,--,company,"[Printer] WTS: 246, CANON, LBP228x – Power & Performance in One, Working, Offer us USD"
5/7/2025 7:07:03,WTS,DELL,200,SEALED,,New,--,"[PC] WTS: 200+, Dell AIO 7420 24"", i5-14500 16gb 256gb , New Sealed, 565 EUR"
5/7/2025 7:05:20,WTS,--,169,PRINTER,,--,--,"[Printer] WTS: 169, CANON, LBP226dw – Precision Meets Efficiency, Working, Offer us USD"
5/7/2025 7:02:37,WTS,HP,800,LAPTOP,,Refurb,inc,"[Laptop] WTS: 800, HP, EliteBook 845 G8 AMD R5 PRO 16GB 256GB 14"", Refurbished A, * USD"
5/7/2025 7:04:16,WTS,LENOVO,27,COMPONENTS,,New,--,"[Components] WTS: 27, Lenovo, 3.84TB 12G 2.5"" SAS New Zero Hours, Open Box, Offer GBP"
5/7/2025 7:02:17,WTS,--,32224,CABLES,,New,--,"[PC] WTS: 32224, Cables, Power Cables, new, OFFER EUR"
5/7/2025 7:01:52,WTS,--,50,LAPTOP,,Refurb,inc,"[Laptop] WTS: 50-2000, Any, Laptop Screen Repair service , C TO A+, 12.5 EUR"
5/7/2025 7:00:07,WTS,--,148,PRINTER,,New,--,"[Printer] WTS: 148, EPSON, EPSON DS-870 DOCUMENT SCANNER (NEW), NEW , 575 USD"
5/7/2025 6:59:00,WTS,--,99,MONITOR,,--,--,"[Monitor] WTS: 99, Samsung, 23"" FHD Screens, AB, 14 EUR"
5/7/2025 7:00:00,WTS,--,400,TABLET,,--,inc,"[Tablet] WTS: 400, ipad mini 2, mini 2, ab, 30 EUR"
5/7/2025 6:58:48,WTS,--,40,TABLET,,--,inc,"[Tablet] WTS: 40, ipad 6, ipad 6 wifi , ab, 52 EUR"
5/7/2025 6:57:39,WTS,HP,137,LAPTOP,,New,llc,"[Laptop] WTS: 137, HP, 5TW10 G5 Docking Stations, New - No Box, 130 USD"
5/7/2025 6:56:54,WTS,--,2,MOBILE,,Used,inc,"[POS] WTS: 2,500, IPC Mobile, DPP-450BT mPOS, Grade A/B, $87,500 USD"
5/7/2025 6:57:19,WTS,--,1000,COMPONENTS,,Used,company,"[Components] WTS: 1000, EDac, EA 10953 Power Supplies For Toshibas, Grade A/B, 8000 USD"
5/7/2025 6:55:42,WTS,--,36,NETWORKING/TELECOM,,New,inc,"[Networking/Telecom] WTS: 36, Avaya Nortel 48V, PSC18U-480 Power Supply, New in Box, 18 USD"
5/7/2025 6:55:34,WTS,--,265,TABLET,,--,inc,"[Tablet] WTS: 265, samsung  tab A- 2019-   4G cellulair-wifi- Androi, 4G cellulair-wifi- Android 10- 32 gb , ab, 55 EUR"
5/7/2025 6:55:52,WTS,--,48,PRINTER,,New,llc,"[Printer] WTS: 48, DNP, DS-RX1 HS Digital Photo Printer, A/B Used, $415.00 USD"
5/7/2025 6:49:13,WTS,HP,100,LAPTOP,,New,--,"[Laptop] WTS: 100, HP 830 G5, Intel Core i5-7300U / 2,6GHz, 256GB SSD, RAM: 8GB, tested- new battery, Best offer EUR"
5/7/2025 6:49:50,WTS,--,400,COMPONENTS,,New,--,"[Components] WTS: 400, 256GB SSD 2.5 SATA, 256GB SSD 2.5 SATA, NEW, 11.5 EUR"
5/7/2025 6:48:46,WTS,--,400,SERVER/STORAGE,,Used,--,"[Server/Storage] WTS: 400, SANDISK, SXPLFA 1.92TB SSD, USED, OFFER USD"
5/7/2025 6:45:33,WTS,LENOVO,180,COMPONENTS,,--,org,"[Components] WTS: 180, Lenovo 45W Slim, Orginal Adapter, A, 7 EUR"
5/7/2025 6:48:40,WTS,--,3000,COMPONENTS,,--,--,"[Components] WTS: 3000, MAJOR BRANDS, 8GB DDR4 SODIMM 3200Mhz, A+++, CHEAP EUR"
5/7/2025 6:47:12,WTS,--,2500,COMPONENTS,,New,--,"[Components] WTS: 2500, MAJOR BRANDS, 256GB NVME SSD , NEW, CHEAP EUR"
5/7/2025 6:43:02,WTS,HP,90,CONTROL,,--,--,"[PC] WTS: 90pcs, HP Elite Slice G2 Room control Mini pc + Touch, i5-7500T 8Gb SSD 128Gb NVME WIFI, A-B, offer EUR"
5/7/2025 6:46:05,WTS,LENOVO,168,COMPONENTS,,--,--,"[Components] WTS: 168, Lenovo 90W Slim, Original Adapter, A, 7,2 EUR"
5/7/2025 6:45:28,WTB,--,10,COMPONENTS,,--,company,"[Components] WTB: 10-20, Nvidia, RTX 6000, a grade, offers EUR"
5/7/2025 6:44:48,WTS,--,10,COMPONENTS,,--,company,"[Components] WTS: 10-20, Nvidia, RTX 6000, good, offers EUR"
5/7/2025 6:44:20,WTS,LENOVO,200,COMPONENTS,,--,--,"[Components] WTS: 200, Lenovo 135W Slim , Original Adapter, A, 9,60 EUR"
5/7/2025 6:43:07,WTS,--,73,COMPONENTS,,--,--,"[Components] WTS: 73, Hard Disks 2,5 3,5 SAS HDD, 72GB - 8000GB, OK, 9 EUR"
5/7/2025 6:43:25,WTS,--,118,MC32N0-RL3SCLE0A,,New,--,"[POS] WTS: 118, Zebra, MC32 MC32N0-RL3SCLE0A, AB, Offer EUR"
5/7/2025 6:42:30,WTS,APPLE,5,LAPTOP,,New,--,"[Laptop] WTS: 5, Apple, Apple MacBook Air 2025 M4 16GB 512GB SSD, New, 1234 EUR"
5/7/2025 6:40:26,WTS,LENOVO,75,LAPTOP,,Refurb,--,"[Laptop] WTS: 75, Lenovo, Thinkpad E480 I5 8TH 8GB 256GB, A REF, 109 EUR"
5/7/2025 6:39:01,WTS,HP,1200,PRINTER,,New,--,"[Printer] WTS: 1200, HP,  DeskJet 2820e All-in-One, NEW, ask EUR"
5/7/2025 6:34:29,WTS,--,50,LAPTOP,,New,--,"[Laptop] WTS: 50, Medion, Akoya E4254 INTEL® PENTIUM® SILVER N5000, NEW, best offer EUR"
5/7/2025 6:33:15,WTS,APPLE,86,MOBILE,,--,--,"[Mobile] WTS: 86, Apple, iPhone 11, Mix, Offer EUR"
5/7/2025 6:33:06,WTS,DELL,24,LAPTOP,,--,--,"[Laptop] WTS: 24, Dell, 7310 i5-10th 16gb 256gb (touch/non-touch), A ref, 155 EUR"
5/7/2025 6:32:23,WTS,DELL,15,LAPTOP,,--,--,"[Laptop] WTS: 15, Dell, XPS 13"" I7-8TH 8GB 256GB, A/A-, 140 EUR"
5/7/2025 6:28:59,WTB,APPLE,100,MOBILE,,--,--,"[Mobile] WTB: 100, APPLE , SE2020, A, . EUR"
5/7/2025 6:27:17,WTS,HP ZBOOK,7,LAPTOP,,--,--,"[Laptop] WTS: 7, HP ZBook Firefly / 14G8 / 14G9 / 15 G8 /, / i7-11th / i7-12th /, Grade A, ASK/OFFER EUR"
5/7/2025 6:26:40,WTS,DELL,500,SERVER/STORAGE,,New,--,"[Server/Storage] WTS: 500, DELL, Ready Rail Kit PowerEdge R840 - 0N1D5C, new, offer EUR"
5/7/2025 6:26:15,WTS,DELL,2,MONITOR,,--,--,"[Monitor] WTS: 2, Dell 55 4K Interactive Touch Monitor - P5524QT, CH4GBP3, Grade A, ASK/OFFER EUR"
5/7/2025 6:26:21,WTB,LENOVO,300,LENOVO,,--,--,"[PC] WTB: 300-400, Lenovo, tiny 9,10 or 11 Gen, grade A, offer EUR"
5/7/2025 6:26:05,WTS,DELL,1,MONITOR,,--,--,"[Monitor] WTS: 1, Dell 65 4K Interactive Touch Monitor - P6524QT, 5C128P3, Grade A, ASK/OFFER EUR"
5/7/2025 6:25:50,WTS,DELL,1,MONITOR,,--,--,"[Monitor] WTS: 1, Dell 75 4K Interactive Touch Monitor - P7524QT, CLC38P3, Grade A, ASK/OFFER EUR"
5/7/2025 6:22:13,WTB,--,500,COMPONENTS,,--,--,"[Components] WTB: 500, N/A, Clover Leaf Leads - short, working, .5 GBP"
5/7/2025 6:21:26,WTS,LENOVO,14,LAPTOP,,--,--,"[Laptop] WTS: 14, Lenovo Thinkpad L14 Gen 1., i5 10th Gen - 16GB - 256GB SSD., A, OFFER GBP"
5/7/2025 6:13:38,WTS,HP,500,MONITOR,,New,--,"[Monitor] WTS: 500, HP, 7' AiO 27-cr0067n, i7-1355U 16GB (2x8GB), 512GB, NEW, ask EUR"
5/7/2025 6:20:15,WTS,HP,300,10500T,,--,--,"[PC] WTS: 300, HP 400g6 DM, i5-10500T, 16gb, 256gb, good, offer EUR"
5/7/2025 6:11:49,WTS,DELL,50,3070/5070,,--,--,"[PC] WTS: 50, DELL SFF 3070/5070/7070, i5-9500 8GB 256SSD, GOOD, 155 EUR"
5/7/2025 6:15:18,WTB,--,10,PRINTER,,--,--,"[Printer] WTB: 10+, Kyocera, 2554ci / 3554ci, 0-150k, offer EUR"
5/7/2025 6:18:00,WTB,DELL ---,20,LAPTOP,,Used,--,"[Laptop] WTB: 20, --- DELL ---, 15"" min i5-g10 256 or 512 / 16 , used, 1 EUR"
5/7/2025 6:16:56,WTS,APPLE,50,MOBILE,,Used,--,"[Mobile] WTS: 50, Apple,  iPhone 13 Pro Max – 256GB, A/A+, Hot Deal  EUR"
5/7/2025 6:17:32,WTS,HP,124,LAPTOP,,Used,inc,"[Laptop] WTS: 124, HP, EliteBook 830 G7 13.3-inch i7-10610U  32/256 GB, used, ask EUR"
5/7/2025 6:17:25,WTS,DELL,150,MONITOR,,--,--,"[Monitor] WTS: 150, DELL, Ultrasharp U2717D, good, 75 EUR"
5/7/2025 6:12:38,WTS,HP,500,MONITOR,,New,--,"[Monitor] WTS: 500, HP, 4' AiO 23.8 FHD AG IPS i5-1334U 16GB, 512GB/, NEW, ask EUR"
5/7/2025 6:08:16,WTS,LENOVO,1000,COMPONENTS,,--,--,"[Components] WTS: 1000+Pcs, LENOVO KEYBOARD, T14 G1 US layout Original, A, ASK/OFFER EUR"
5/7/2025 6:08:15,WTS,HP,3,WORKSTATION,,New,--,"[PC] WTS: 3, HP, Workstation Z4 G4 1JP11AV, A-, OFFER EUR"
5/7/2025 6:06:11,WTB,--,1,PRINTER,,New,--,"[Printer] WTB: 1 UNIT, LEXMARK MS823 41X1109 - Upper redrive, LEXMARK MS823     41X1109 - Upper redrive, NEW, OFFER EUR"
5/7/2025 6:01:39,WTS,--,336,NETWORKING/TELECOM,,Used,--,"[Networking/Telecom] WTS: 336, EXTREME NETWORKS , SEE LIST IN COMMENTS , USED , 14000 GBP"
5/7/2025 6:02:21,WTS,HP,14,SERVER/STORAGE,,--,--,"[Server/Storage] WTS: 14, HP, 830824-B21 - HPE Smart Array P408i-p SR Controller, REF, OFFER GBP"
5/7/2025 6:00:03,WTS,LENOVO,20,LAPTOP,,--,--,"[Laptop] WTS: 20, Lenovo Thinkpad L15 Gen 1, i5 10th Gen - 16GB - 256GB SSD, A, OFFER GBP"
5/7/2025 5:59:06,WTS,--,5,SERVER/STORAGE,,--,--,"[Server/Storage] WTS: 5, Intel, SRGZJ Intel Xeon Gold 6242R 20-Core 3.1GHz, REF, OFFER GBP"
5/7/2025 5:59:06,WTS,DELL,18,LAPTOP,,--,--,"[Laptop] WTS: 18, Dell	Latitude 7410, i5 10th Gen - 16GB - 256GB SSD, Body B/ Screen A, OFFER GBP"
5/7/2025 5:57:38,WTS,HP,40,WINPRO,,--,--,"[PC] WTS: 40, HP 600 G5 Mini, i5 9500T 8GB 256GB WINPRO PSU, Grade A, ask EUR"
5/7/2025 5:57:04,WTS,--,5,SERVER/STORAGE,,--,--,"[Server/Storage] WTS: 5, CISCO , UCSS S3260 Storage Base Server Chassis UCSS-S3260, CISCO REFRESH F/S, OFFER EUR"
5/7/2025 5:54:57,WTS,HP,65,LAPTOP,,New,--,"[Laptop] WTS: any, hp, 65w centerpin, new, offer EUR"
5/7/2025 5:54:20,WTS,DELL,90,LAPTOP,,New,--,"[Laptop] WTS: any, dell, 90w centerpin, new, offer EUR"
5/7/2025 5:53:06,WTB,HP,1000,MONITOR,,--,--,"[Monitor] WTB: 1000, HP, E233 / E243, A, Offers EUR"
5/7/2025 5:49:38,WTB,--,100,COMPONENTS,,Refurb,--,"[Components] WTB: 100, Any Brand, Want to buy bulk quantities of Mining Cards 6900, brand new, refurb, CALL USD"
5/7/2025 5:51:38,WTS,APPLE,70,MOBILE,,--,--,"[Mobile] WTS: 70, Apple, Iphones, Broken/locked, 0 GBP"
5/7/2025 5:51:32,WTS,--,50,NETWORKING/TELECOM,,New,--,"[Networking/Telecom] WTS: 50, Meraki, MT20-HW, NEW, offer EUR"
5/7/2025 5:50:52,WTS,--,30,NETWORKING/TELECOM,,New,--,"[Networking/Telecom] WTS: 30, Meraki, MT10-HW, NEW, Offer EUR"
5/7/2025 5:33:06,WTS,--,100,COMPONENTS,,New,--,"[Components] WTS: 100, Kingston , KVR1333D3S8R9S/2G 2GB DDR3 PC3-10600R, NEW!, 8 USD"
5/7/2025 5:36:18,WTS,--,200,ZT41142-T0E0000Z,,New,--,"[POS] WTS: 200, Zebra, ZT41142-T0E0000Z Label Printer, New Boxed, Offer EUR"
5/7/2025 5:32:55,WTS,--,35,ELECTRONICS,,Used,--,"[Electronics] WTS: 35, OLYMPUS, LUCPlanFL N 20x/0.45 FN22 Microscope Objective, USED pulls, 700 EUR"
